n_reinas,epochs,best_cost
7,205,0
7,153,0
7,178,0
7,187,0
7,170,0
7,50,0
7,10,0
7,64,0
7,312,0
7,83,0
7,10,0
7,162,0
7,35,0
7,149,0
7,276,0
7,90,0
7,35,0
7,277,0
7,130,0
7,158,0
8,425,0
8,323,0
8,350,0
8,512,0
8,475,0
8,432,0
8,1539,0
8,363,0
8,104,0
8,401,0
8,32,0
8,210,0
8,282,0
8,492,0
8,64,0
8,378,0
8,541,0
8,2828,0
8,722,0
8,71,0
9,421,0
9,1338,0
9,47,0
9,474,0
9,173,0
9,667,0
9,288,0
9,1761,0
9,23,0
9,899,0
9,764,0
9,1298,0
9,400,0
9,232,0
9,1145,0
9,556,0
9,3069,0
9,826,0
9,1138,0
9,839,0
10,8478,0
10,1417,0
10,511,0
10,3338,0
10,4209,0
10,2711,0
10,4282,0
10,5758,0
10,1687,0
10,3563,0
10,17637,0
10,4807,0
10,6066,0
10,9590,0
10,4832,0
10,7410,0
10,3145,0
10,3043,0
10,2017,0
10,535,0
11,14281,0
11,37074,0
11,10126,0
11,18362,0
11,47122,0
11,3583,0
11,46439,0
11,11771,0
11,36909,0
11,7937,0
11,312,0
11,19168,0
11,9225,0
11,5487,0
11,49197,0
11,40669,0
11,26264,0
11,8150,0
11,13751,0
11,23866,0
12,3317,0
12,8689,0
12,50000,1
12,7109,0
12,10483,0
12,18653,0
12,19255,0
12,23849,0
12,10216,0
12,12874,0
12,33655,0
12,19975,0
12,31169,0
12,50000,1
12,9976,0
12,224,0
12,38001,0
12,36680,0
12,21072,0
12,50000,1
13,6251,0
13,50000,1
13,17789,0
13,47435,0
13,17205,0
13,50000,1
13,50000,1
13,31810,0
13,42772,0
13,50000,1
13,3977,0
13,50000,1
13,1268,0
13,50000,1
13,49884,0
13,8996,0
13,50000,1
13,50000,1
13,42398,0
13,50000,1
14,50000,1
14,46684,0
14,50000,1
14,50000,1
14,16149,0
14,25978,0
14,50000,1
14,50000,1
14,50000,1
14,50000,1
14,50000,1
14,50000,1
14,50000,1
14,50000,1
14,50000,1
14,48099,0
14,50000,1
14,50000,1
14,50000,1
14,50000,1
15,50000,1
15,50000,1
15,17443,0
15,50000,1
15,50000,1
15,50000,1
15,50000,1
15,50000,1
15,50000,2
15,50000,1
15,50000,1
15,50000,1
15,50000,1
15,50000,1
15,50000,1
15,50000,2
15,50000,1
15,50000,1
15,13698,0
15,50000,1
16,50000,1
16,49694,0
16,50000,1
16,50000,1
16,50000,1
16,50000,1
16,50000,1
16,46558,0
16,50000,1
16,50000,1
16,50000,2
16,50000,2
16,50000,1
16,50000,1
16,50000,1
16,50000,1
16,50000,1
16,50000,2
16,50000,1
16,50000,1
17,50000,1
17,50000,1
17,50000,2
17,50000,1
17,50000,1
17,50000,1
17,50000,2
17,50000,1
17,50000,1
17,50000,1
17,50000,2
17,50000,2
17,50000,1
17,50000,1
17,50000,1
17,50000,2
17,50000,2
17,50000,1
17,50000,1
17,50000,2
18,50000,1
18,50000,2
18,50000,2
18,50000,2
18,50000,2
18,50000,2
