n_reinas,epochs,best_cost,schedule
7,101,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 2800000, 'updates': 100}"
7,87,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2900000, 'updates': 100}"
7,11,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2900000, 'updates': 100}"
7,63,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2800000, 'updates': 100}"
7,47,0,"{'tmax': 50.0, 'tmin': 0.26, 'steps': 2800000, 'updates': 100}"
7,227,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 2800000, 'updates': 100}"
7,245,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2800000, 'updates': 100}"
7,92,0,"{'tmax': 40.0, 'tmin': 0.2, 'steps': 2800000, 'updates': 100}"
7,175,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 2800000, 'updates': 100}"
7,17,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 2900000, 'updates': 100}"
7,90,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 2800000, 'updates': 100}"
7,110,0,"{'tmax': 33.0, 'tmin': 0.11, 'steps': 2800000, 'updates': 100}"
7,160,0,"{'tmax': 40.0, 'tmin': 0.3, 'steps': 2900000, 'updates': 100}"
7,104,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 2900000, 'updates': 100}"
7,204,0,"{'tmax': 33.0, 'tmin': 0.11, 'steps': 2900000, 'updates': 100}"
7,291,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2900000, 'updates': 100}"
7,301,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 2900000, 'updates': 100}"
7,30,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 2900000, 'updates': 100}"
7,143,0,"{'tmax': 50.0, 'tmin': 0.26, 'steps': 2900000, 'updates': 100}"
7,25,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 2900000, 'updates': 100}"
8,172,0,"{'tmax': 33.0, 'tmin': 0.17, 'steps': 2500000, 'updates': 100}"
8,79,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 2500000, 'updates': 100}"
8,1579,0,"{'tmax': 40.0, 'tmin': 0.2, 'steps': 2500000, 'updates': 100}"
8,955,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 2500000, 'updates': 100}"
8,295,0,"{'tmax': 33.0, 'tmin': 0.11, 'steps': 2500000, 'updates': 100}"
8,224,0,"{'tmax': 40.0, 'tmin': 0.087, 'steps': 2500000, 'updates': 100}"
8,782,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 2500000, 'updates': 100}"
8,253,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 2500000, 'updates': 100}"
8,1250,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2500000, 'updates': 100}"
8,1137,0,"{'tmax': 60.0, 'tmin': 0.2, 'steps': 2400000, 'updates': 100}"
8,166,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2500000, 'updates': 100}"
8,520,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 2500000, 'updates': 100}"
8,1227,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2400000, 'updates': 100}"
8,392,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 2500000, 'updates': 100}"
8,882,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2500000, 'updates': 100}"
8,12,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 2500000, 'updates': 100}"
8,157,0,"{'tmax': 40.0, 'tmin': 0.2, 'steps': 2500000, 'updates': 100}"
8,782,0,"{'tmax': 40.0, 'tmin': 0.087, 'steps': 2500000, 'updates': 100}"
8,140,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2500000, 'updates': 100}"
8,13,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 2500000, 'updates': 100}"
9,771,0,"{'tmax': 32.0, 'tmin': 0.15, 'steps': 2100000, 'updates': 100}"
9,1228,0,"{'tmax': 60.0, 'tmin': 0.087, 'steps': 2100000, 'updates': 100}"
9,1840,0,"{'tmax': 40.0, 'tmin': 0.2, 'steps': 2100000, 'updates': 100}"
9,472,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2100000, 'updates': 100}"
9,2542,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 2100000, 'updates': 100}"
9,3120,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 2100000, 'updates': 100}"
9,725,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 2100000, 'updates': 100}"
9,2677,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 2100000, 'updates': 100}"
9,2207,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 2100000, 'updates': 100}"
9,710,0,"{'tmax': 72.0, 'tmin': 0.1, 'steps': 2100000, 'updates': 100}"
9,390,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2100000, 'updates': 100}"
9,1994,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 2100000, 'updates': 100}"
9,617,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2100000, 'updates': 100}"
9,1159,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 2100000, 'updates': 100}"
9,1510,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 2100000, 'updates': 100}"
9,1166,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 2100000, 'updates': 100}"
9,1722,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 2100000, 'updates': 100}"
9,2399,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 2100000, 'updates': 100}"
9,1252,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 2100000, 'updates': 100}"
9,710,0,"{'tmax': 60.0, 'tmin': 0.087, 'steps': 2100000, 'updates': 100}"
10,2220,0,"{'tmax': 72.0, 'tmin': 0.15, 'steps': 1800000, 'updates': 100}"
10,1933,0,"{'tmax': 36.0, 'tmin': 0.13, 'steps': 1800000, 'updates': 100}"
10,4492,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1800000, 'updates': 100}"
10,478,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1800000, 'updates': 100}"
10,15005,0,"{'tmax': 32.0, 'tmin': 0.15, 'steps': 1800000, 'updates': 100}"
10,10821,0,"{'tmax': 36.0, 'tmin': 0.087, 'steps': 1800000, 'updates': 100}"
10,3148,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 1800000, 'updates': 100}"
10,650,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 1800000, 'updates': 100}"
10,17323,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 1800000, 'updates': 100}"
10,7296,0,"{'tmax': 36.0, 'tmin': 0.13, 'steps': 1800000, 'updates': 100}"
10,7849,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1800000, 'updates': 100}"
10,22850,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1800000, 'updates': 100}"
10,8181,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 1800000, 'updates': 100}"
10,415,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 1900000, 'updates': 100}"
10,985,0,"{'tmax': 48.0, 'tmin': 0.15, 'steps': 1800000, 'updates': 100}"
10,812,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1800000, 'updates': 100}"
10,605,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 1800000, 'updates': 100}"
10,1629,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 1800000, 'updates': 100}"
10,2803,0,"{'tmax': 48.0, 'tmin': 0.1, 'steps': 1800000, 'updates': 100}"
10,313,0,"{'tmax': 54.0, 'tmin': 0.087, 'steps': 1800000, 'updates': 100}"
11,26712,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,3557,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,38893,0,"{'tmax': 81.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,12027,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,3503,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,12543,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,72165,0,"{'tmax': 54.0, 'tmin': 0.2, 'steps': 1600000, 'updates': 100}"
11,41125,0,"{'tmax': 36.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,42917,0,"{'tmax': 40.0, 'tmin': 0.087, 'steps': 1600000, 'updates': 100}"
11,46584,0,"{'tmax': 36.0, 'tmin': 0.2, 'steps': 1600000, 'updates': 100}"
11,28097,0,"{'tmax': 40.0, 'tmin': 0.2, 'steps': 1600000, 'updates': 100}"
11,17250,0,"{'tmax': 36.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,15654,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,3426,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,840,0,"{'tmax': 54.0, 'tmin': 0.087, 'steps': 1600000, 'updates': 100}"
11,13275,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,2186,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,4657,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,6692,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
11,6812,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 1600000, 'updates': 100}"
12,17896,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 1400000, 'updates': 100}"
12,71422,0,"{'tmax': 40.0, 'tmin': 0.087, 'steps': 1400000, 'updates': 100}"
12,3376,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 1400000, 'updates': 100}"
12,13827,0,"{'tmax': 30.0, 'tmin': 0.15, 'steps': 1400000, 'updates': 100}"
12,24147,0,"{'tmax': 40.0, 'tmin': 0.087, 'steps': 1400000, 'updates': 100}"
12,7540,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 1400000, 'updates': 100}"
12,83576,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 1400000, 'updates': 100}"
12,1751,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 1400000, 'updates': 100}"
12,78944,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 1400000, 'updates': 100}"
12,102221,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 1400000, 'updates': 100}"
12,25322,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 1400000, 'updates': 100}"
12,61920,0,"{'tmax': 40.0, 'tmin': 0.087, 'steps': 1400000, 'updates': 100}"
12,2648,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 1400000, 'updates': 100}"
12,54489,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 1400000, 'updates': 100}"
12,11612,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 1400000, 'updates': 100}"
12,16857,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 1400000, 'updates': 100}"
12,17049,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 1400000, 'updates': 100}"
12,6599,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 1400000, 'updates': 100}"
12,3498,0,"{'tmax': 40.0, 'tmin': 0.13, 'steps': 1400000, 'updates': 100}"
12,21459,0,"{'tmax': 40.0, 'tmin': 0.087, 'steps': 1400000, 'updates': 100}"
13,91981,0,"{'tmax': 33.0, 'tmin': 0.11, 'steps': 1200000, 'updates': 100}"
13,117192,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 1200000, 'updates': 100}"
13,14661,0,"{'tmax': 68.0, 'tmin': 0.1, 'steps': 1200000, 'updates': 100}"
13,79361,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 1200000, 'updates': 100}"
13,273802,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 1200000, 'updates': 100}"
13,195405,0,"{'tmax': 75.0, 'tmin': 0.11, 'steps': 1200000, 'updates': 100}"
13,21152,0,"{'tmax': 75.0, 'tmin': 0.17, 'steps': 1200000, 'updates': 100}"
13,59325,0,"{'tmax': 45.0, 'tmin': 0.22, 'steps': 1200000, 'updates': 100}"
13,83403,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 1200000, 'updates': 100}"
13,131891,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 1200000, 'updates': 100}"
13,14504,0,"{'tmax': 33.0, 'tmin': 0.073, 'steps': 1200000, 'updates': 100}"
13,48425,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 1200000, 'updates': 100}"
13,1897,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 1200000, 'updates': 100}"
13,26100,0,"{'tmax': 68.0, 'tmin': 0.1, 'steps': 1200000, 'updates': 100}"
13,619,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 1200000, 'updates': 100}"
13,31741,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 1200000, 'updates': 100}"
13,237757,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 1200000, 'updates': 100}"
13,23552,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 1200000, 'updates': 100}"
13,44523,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 1300000, 'updates': 100}"
